prop,a,Nspp
0.0,0.0,100
22.0,0.0,150
24.0,0.0,200
17.0,0.0,100
23.0,0.0,150
48.0,0.0,200
18.0,0.0,100
41.0,0.0,150
0.0,0.0,200
25.0,0.0,100
44.0,0.0,150
29.0,0.0,200
27.0,0.0,100
27.0,0.0,150
4.15e-322,0.0,200
64.0,0.003,100
117.0,0.003,150
169.0,0.003,200
78.0,0.003,100
133.0,0.003,150
158.0,0.003,200
81.0,0.003,100
122.0,0.003,150
163.0,0.003,200
76.0,0.003,100
115.0,0.003,150
155.0,0.003,200
85.0,0.003,100
116.0,0.003,150
157.0,0.003,200
82.0,0.006,100
141.0,0.006,150
174.0,0.006,200
96.0,0.006,100
144.0,0.006,150
174.0,0.006,200
89.0,0.006,100
141.0,0.006,150
180.0,0.006,200
82.0,0.006,100
146.0,0.006,150
174.0,0.006,200
90.0,0.006,100
125.0,0.006,150
175.0,0.006,200
98.0,0.009,100
144.0,0.009,150
181.0,0.009,200
97.0,0.009,100
139.0,0.009,150
195.0,0.009,200
89.0,0.009,100
146.0,0.009,150
195.0,0.009,200
89.0,0.009,100
125.0,0.009,150
181.0,0.009,200
99.0,0.009,100
148.0,0.009,150
196.0,0.009,200
97.0,0.012,100
147.0,0.012,150
197.0,0.012,200
100.0,0.012,100
144.0,0.012,150
192.0,0.012,200
95.0,0.012,100
139.0,0.012,150
183.0,0.012,200
94.0,0.012,100
148.0,0.012,150
191.0,0.012,200
99.0,0.012,100
147.0,0.012,150
199.0,0.012,200
99.0,0.015,100
145.0,0.015,150
195.0,0.015,200
99.0,0.015,100
147.0,0.015,150
195.0,0.015,200
97.0,0.015,100
144.0,0.015,150
197.0,0.015,200
98.0,0.015,100
148.0,0.015,150
194.0,0.015,200
99.0,0.015,100
148.0,0.015,150
198.0,0.015,200
99.0,0.018,100
147.0,0.018,150
196.0,0.018,200
100.0,0.018,100
149.0,0.018,150
197.0,0.018,200
99.0,0.018,100
146.0,0.018,150
188.0,0.018,200
100.0,0.018,100
147.0,0.018,150
197.0,0.018,200
100.0,0.018,100
150.0,0.018,150
198.0,0.018,200
100.0,0.021,100
149.0,0.021,150
197.0,0.021,200
98.0,0.021,100
144.0,0.021,150
200.0,0.021,200
100.0,0.021,100
150.0,0.021,150
196.0,0.021,200
98.0,0.021,100
149.0,0.021,150
196.0,0.021,200
100.0,0.021,100
148.0,0.021,150
199.0,0.021,200
100.0,0.024,100
150.0,0.024,150
192.0,0.024,200
99.0,0.024,100
150.0,0.024,150
199.0,0.024,200
98.0,0.024,100
150.0,0.024,150
200.0,0.024,200
100.0,0.024,100
144.0,0.024,150
197.0,0.024,200
100.0,0.024,100
149.0,0.024,150
198.0,0.024,200
100.0,0.027,100
150.0,0.027,150
200.0,0.027,200
100.0,0.027,100
150.0,0.027,150
200.0,0.027,200
99.0,0.027,100
149.0,0.027,150
195.0,0.027,200
100.0,0.027,100
150.0,0.027,150
196.0,0.027,200
100.0,0.027,100
150.0,0.027,150
199.0,0.027,200
100.0,0.03,100
150.0,0.03,150
200.0,0.03,200
100.0,0.03,100
149.0,0.03,150
200.0,0.03,200
100.0,0.03,100
150.0,0.03,150
200.0,0.03,200
100.0,0.03,100
148.0,0.03,150
200.0,0.03,200
100.0,0.03,100
150.0,0.03,150
200.0,0.03,200
100.0,0.033,100
149.0,0.033,150
200.0,0.033,200
100.0,0.033,100
150.0,0.033,150
200.0,0.033,200
100.0,0.033,100
150.0,0.033,150
200.0,0.033,200
100.0,0.033,100
150.0,0.033,150
200.0,0.033,200
100.0,0.033,100
150.0,0.033,150
199.0,0.033,200
100.0,0.036,100
150.0,0.036,150
200.0,0.036,200
100.0,0.036,100
150.0,0.036,150
200.0,0.036,200
100.0,0.036,100
150.0,0.036,150
200.0,0.036,200
100.0,0.036,100
150.0,0.036,150
200.0,0.036,200
100.0,0.036,100
150.0,0.036,150
200.0,0.036,200
100.0,0.039,100
150.0,0.039,150
200.0,0.039,200
100.0,0.039,100
150.0,0.039,150
200.0,0.039,200
100.0,0.039,100
150.0,0.039,150
200.0,0.039,200
100.0,0.039,100
150.0,0.039,150
199.0,0.039,200
100.0,0.039,100
150.0,0.039,150
192.0,0.039,200
100.0,0.042,100
150.0,0.042,150
200.0,0.042,200
100.0,0.042,100
150.0,0.042,150
200.0,0.042,200
100.0,0.042,100
150.0,0.042,150
200.0,0.042,200
100.0,0.042,100
150.0,0.042,150
199.0,0.042,200
100.0,0.042,100
150.0,0.042,150
200.0,0.042,200
100.0,0.045,100
150.0,0.045,150
200.0,0.045,200
100.0,0.045,100
150.0,0.045,150
200.0,0.045,200
100.0,0.045,100
150.0,0.045,150
200.0,0.045,200
100.0,0.045,100
150.0,0.045,150
199.0,0.045,200
100.0,0.045,100
150.0,0.045,150
200.0,0.045,200
100.0,0.048,100
150.0,0.048,150
200.0,0.048,200
100.0,0.048,100
150.0,0.048,150
200.0,0.048,200
100.0,0.048,100
150.0,0.048,150
200.0,0.048,200
100.0,0.048,100
150.0,0.048,150
200.0,0.048,200
100.0,0.048,100
150.0,0.048,150
200.0,0.048,200
